status_type,num_reactions,num_comments,num_shares,num_loves,cluster
video,529.0,512.0,262.0,92.0,1
photo,150.0,0.0,0.0,0.0,0
video,227.0,235.99999999999997,57.0,21.0,1
photo,111.0,0.0,0.0,0.0,0
photo,213.0,0.0,0.0,9.0,0
photo,217.0,6.0,0.0,5.0,0
video,503.0,614.0,72.0,70.0,1
video,295.0,453.00000000000006,53.0,32.0,1
photo,203.0,1.0,0.0,5.0,0
photo,170.0,9.0,1.0,3.0,0
photo,210.0,2.0,3.0,7.0,0
photo,222.0,4.0,0.0,5.0,0
photo,313.0,4.0,2.0,6.0,0
photo,209.0,4.0,0.0,8.0,0
photo,346.0,11.000000000000002,0.0,10.0,0
video,332.0,100.0,30.0,23.0,1
video,135.0,256.0,79.0,18.0,1
video,150.0,173.0,47.0,16.0,1
video,221.0,166.0,36.0,28.0,1
photo,152.0,2.0,0.0,3.0,0
photo,234.0,15.0,1.0,12.0,0
photo,227.0,7.0,1.0,7.0,0
photo,98.00000000000001,0.0,0.0,0.0,0
video,18.0,0.0,0.0,0.0,1
photo,102.0,0.0,0.0,0.0,0
video,37.0,0.0,1.0,0.0,1
video,75.0,36.0,14.0,5.0,1
video,90.0,78.0,9.0,5.0,1
photo,145.0,9.0,0.0,7.0,0
video,253.0,300.0,31.0,22.0,1
photo,85.0,0.0,0.0,2.0,0
video,45.0,14.0,0.0,5.0,1
photo,91.99999999999999,0.0,0.0,4.0,0
photo,125.0,1.0,0.0,8.0,0
photo,119.0,4.0,0.0,3.0,0
photo,293.0,8.0,0.0,11.0,0
video,128.0,137.0,26.0,16.0,1
photo,84.0,15.0,13.0,5.0,0
photo,66.0,11.000000000000002,6.0,4.0,0
video,171.0,292.0,28.0,19.0,1
video,90.0,72.0,23.0,10.0,1
video,139.0,39.0,9.0,16.0,1
video,236.0,180.99999999999997,21.0,33.0,1
video,225.0,210.0,34.0,30.0,1
photo,275.0,12.0,0.0,11.0,0
video,371.99999999999994,456.00000000000006,37.0,31.0,1
photo,445.0,9.0,0.0,23.0,0
video,128.0,60.0,11.0,13.0,1
video,185.99999999999997,234.99999999999997,46.0,19.0,1
